split,policy_name,policy_family,timeframe,regime_at_entry,trade_count,aligned_trade_count,net_pnl,no_cost_pnl,avg_net_pnl,avg_no_cost_pnl,positive_trade_count,negative_trade_count,win_rate,positive_pnl_sum,loss_abs_sum
train_ext,v3_ensemble_core,ensemble,4h,strong_downtrend,1,1,-0.0901188799999999,-0.0873799999999999,-0.0901188799999999,-0.0873799999999999,0,1,0.0,0.0,0.0901188799999999
train_ext,v3_ensemble_core,ensemble,4h,strong_uptrend,4,4,1.4134066599999997,1.4214,0.3533516649999999,0.35535,2,2,0.5,1.6140519749999998,0.200645315
train_ext,v3_ensemble_core,ensemble,4h,weak_downtrend,121,121,-1.137301919999994,-0.9057199999999945,-0.009399189421487554,-0.007485289256198302,19,102,0.15702479338842976,0.5142719399999995,1.6515738599999936
train_ext,v3_ensemble_core,ensemble,4h,weak_uptrend,239,239,-1.5501433399999924,-0.9911399999999935,-0.006485955397489508,-0.004147029288702902,46,193,0.19246861924686193,4.658640369999997,6.20878370999999
validation_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,choppy,18,0,2.824064715000002,2.8930700000000007,0.15689248416666676,0.16072611111111115,7,11,0.3888888888888889,5.8295840000000005,3.0055192849999997
validation_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,high_vol_choppy,3,0,1.2523837599999998,1.2575200000000004,0.4174612533333333,0.41917333333333345,1,2,0.3333333333333333,1.5757187999999998,0.3233350399999998
validation_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,weak_downtrend,6,6,-0.0683173849999999,-0.06384999999999989,-0.011386230833333316,-0.010641666666666648,1,5,0.16666666666666666,0.005812295,0.0741296799999999
validation_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,weak_uptrend,3,3,-1.4923276100000002,-1.4780800000000003,-0.49744253666666677,-0.4926933333333334,1,2,0.3333333333333333,0.0903401,1.5826677100000004
validation_ext,v3_1d_donchian_55_20_atr5,1d_donchian,1d,choppy,6,0,0.8881000750000007,0.9045700000000007,0.14801667916666678,0.15076166666666677,2,4,0.3333333333333333,1.3939100649999998,0.5058099899999992
validation_ext,v3_1d_donchian_55_20_atr5,1d_donchian,1d,high_vol_choppy,6,0,-0.9260293499999999,-0.9126399999999999,-0.15433822499999997,-0.15210666666666664,2,4,0.3333333333333333,0.7366320050000001,1.662661355
