exit_variant,oracle,strategy_source,policy_or_group,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
fixed_hold_longer_2x,False,vsvcb_v1,C,12403,-100523.1698942865,-125329.16989428649,-125403.38437753226,13786,True,0.3757155526888656,0.4300248757405253,125660.62747153638,0.6023789700356722,-0.36625953130163696,0.08203810979813832,0.9667822301056196,0.6624203821656051
fixed_hold_longer_2x,False,vsvcb_v1,D,4220,-25736.917544449803,-34176.9175444498,-34153.447566445975,4596,True,0.36492890995260663,0.47172207756191387,35259.87411793862,0.59889928682492,-0.45233425806916827,0.07873771036464587,0.9710900473933649,0.6691943127962086
fixed_hold_longer_2x,False,vsvcb_v1,E,4220,25736.917544449803,17296.917544449803,17273.44756644598,4596,True,0.5125592417061612,1.4593194430930458,3574.410975988257,0.9171576970500737,1.7566465334441552,0.07873771036464587,0.9710900473933649,0.6691943127962086
fixed_hold_longer_4x,False,csrb_v1,A,11356,-108047.1481030565,-130759.14810305652,-131276.27843424238,45158,True,0.40463191264529763,0.5474993109856521,131863.14360165776,0.6533218744182601,-0.5500617207626596,0.18975751169221158,0.8987319478689679,0.6382529059528003
fixed_hold_longer_4x,False,csrb_v1,B,2802,-21070.2905250177,-26674.2905250177,-26850.582492342477,11850,True,0.40649536045681656,0.6201608102123985,27751.326279355522,0.5365529984383061,-0.7723701648673613,0.20216175377072457,0.8975731620271235,0.6409707351891506
fixed_hold_longer_4x,False,csrb_v1,C,4097,-20245.844822280626,-28439.84482228063,-28495.512380885797,12363,True,0.41811081278984624,0.6366460174249169,28523.25847010074,0.6315194422935757,-0.7423184356115139,0.15482662057300395,0.9260434464242129,0.6353429338540395
fixed_hold_longer_4x,False,csrb_v1,D,6218,63768.32106193406,51332.32106193407,51108.33654335065,21885,True,0.5800900611128981,1.738908680868066,1653.8119866597153,0.528597566586309,0.8611947159923685,0.17666087087210314,0.9060791251206176,0.6228690897394661
fixed_hold_longer_4x,False,csrb_v1,E,6287,38922.8010004215,26348.801000421503,26549.759109584484,22056,True,0.5201208843645618,1.275688509805901,11027.820112839008,0.8571739875610733,2.1636105617790347,0.17413611599610246,0.9141084778113567,0.6402099570542389
fixed_hold_longer_4x,False,trend_v3_extended,v3_1d_donchian_20_10_atr4,89,-3.9765900000000034,-4.209735595000001,-4.62585239799072,5374,True,0.449438202247191,0.6860411637380828,6.698162521250942,0.9359225960207476,-1.2868529702365066,0.779084306178367,0.07865168539325842,0.02247191011235955
fixed_hold_longer_4x,False,trend_v3_extended,v3_1d_donchian_55_20_atr5,43,-0.41463000000000055,-0.5267545750000006,-0.8598005031554402,2575,True,0.4418604651162791,0.8783774444330796,4.09383470902541,0.6297982253435455,-3.070329277465466,0.5498591083229523,0.11627906976744186,0.023255813953488372
fixed_hold_longer_4x,False,trend_v3_extended,v3_1d_ema_50_200_atr5,162,4.10493,3.6018590900000005,2.9491497608758457,7275,True,0.42592592592592593,1.153564700596322,5.7444792099056325,0.9700574719721308,3.7874897631600377,0.5968178502192745,0.36419753086419754,0.25925925925925924
