lookback,atr_mult,max_hold,train_pnl,validation_pnl,oos_pnl
12,1.5,40,15181.844698751953,5395.53959268753,3723.9892943404925
12,1.5,80,19679.157172552965,5536.725698783844,3884.3634431493592
12,2.0,50,13070.077503745171,4059.4703206220047,3404.9748740496407
12,2.0,55,14354.960589114058,3619.50688469101,3740.4239958439543
12,2.0,60,14485.460780446105,3611.284348764886,3955.2365434360436
12,2.0,65,17500.80092964063,3907.440312258463,3418.6178247686103
12,2.0,70,18931.110045044617,3860.778373903661,3014.682315847661
12,2.0,20,10811.388603436008,4291.320309545925,2891.928191111787
12,2.0,40,14517.168018095093,4914.825471125387,3144.108699511564
12,2.0,80,18962.684693578645,4560.8258940424585,3019.3922056962783
12,2.5,50,13196.419737906792,3822.48088239054,3611.0985282393603
12,2.5,55,14754.67119903681,3262.5763819536814,4079.6421182782033
12,2.5,60,14613.256399307023,3085.7073618850027,4391.140136176649
12,2.5,65,17617.901920445074,3649.284189378554,3830.3212240787316
12,2.5,70,18947.76723778761,3588.724659145324,3455.517889296334
12,2.5,20,10513.335819127955,3723.356192061956,3208.69660665759
12,2.5,40,13854.073413004742,4586.613257265679,3091.9276989280643
12,2.5,80,18823.928914189844,4118.154133801772,3648.558724085422
12,3.0,50,13369.516111274279,3859.453919102772,3350.799498557929
12,3.0,55,14777.362329840267,3248.760967282493,3929.1507381613983
12,3.0,60,14536.707447521954,2955.1291718791053,4566.367627365593
12,3.0,65,17711.90023151919,3787.2836209130874,3803.1883772500933
12,3.0,70,19135.529744405037,3620.348426513936,3367.0622138777744
12,3.0,20,10485.133640268981,3501.9969793496284,3117.9251962428234
12,3.0,40,13624.22198146012,4590.283636988021,2826.4204612056246
12,3.0,80,18822.093661205756,3702.6799051929474,3330.637204008482
15,1.0,50,9140.10729439246,4705.279034401193,4411.636721276309
15,1.0,55,9288.53263319061,4618.853671912988,4742.3662969491215
15,1.0,60,9602.827903138645,4761.329916963874,5070.529838271505
15,1.0,65,11227.221930076528,4870.972510442552,4419.16329181273
15,1.0,70,11185.601496010268,4911.707172319143,4409.882419618571
15,1.0,20,8164.843526766642,4918.259770787534,3967.884243949173
15,1.0,40,9552.155019339189,5174.586777722439,3988.0888693736943
15,1.0,80,10854.032314032484,5625.627969743138,4309.208400575368
15,1.5,50,10470.41896273808,4662.16138348172,4123.6701406141065
15,1.5,55,10438.163513115342,4591.931980138844,4452.920787486713
15,1.5,60,10726.363310957739,4584.144607856132,4880.878734172901
15,1.5,65,12341.446952506238,4827.64391073558,4075.9813380546175
15,1.5,70,12178.68907414289,4761.186098671012,3957.267480443482
15,1.5,20,8767.933819776912,5127.096410855117,3825.5768587536113
15,1.5,40,10868.023907982639,5442.552623418485,3773.5099881069705
15,1.5,80,11903.076638123433,5304.9865958175305,3717.94801156882
15,2.0,50,9911.231954012714,3735.3848872038366,3588.4079970900866
15,2.0,55,9905.498421637825,3527.078694837053,4057.750825919449
15,2.0,60,10402.591955111353,3445.2379904312697,4458.130958118333
15,2.0,65,11995.326398876046,3803.646547091876,3628.699175028669
15,2.0,70,11633.224505869199,3625.7570897153446,3268.0463080837126
15,2.0,20,8467.351911383572,4489.233707580075,3482.9358956787682
15,2.0,40,10452.599236042837,4705.213246089839,3303.000518198207
15,2.0,80,11227.172825764112,4178.740739287617,2946.499440608998
15,2.5,50,10044.389892709023,3639.930610946478,3978.3201795056552
15,2.5,55,10308.1733469502,3257.185777004363,4649.565652718251
15,2.5,60,10315.650284682835,3030.9411811860136,5068.4435344265585
15,2.5,65,11929.187258038331,3655.9526645727756,4187.406025299615
15,2.5,70,11555.082876383094,3569.029398424599,3851.8775403921577
15,2.5,20,8276.090182258991,4014.295290758746,3915.5003654325174
15,2.5,40,9947.270741816652,4471.333431274253,3493.0725281968753
15,2.5,80,10978.993072958985,3882.9862721814525,3590.804902687018
15,3.0,50,10370.038798622394,3986.710703814139,3931.2471011992793
15,3.0,55,10455.124451285428,3557.8083089939646,4827.71238757486
15,3.0,60,10325.560634725032,3241.1755536876935,5580.900570020216
15,3.0,65,12065.105195805798,4116.9273869017115,4531.650322385986
15,3.0,70,11657.54680167654,3874.3824580391874,4068.8443470049347
15,3.0,20,8324.435091902891,4081.4354455588896,3768.6503671840674
15,3.0,40,10105.667365239944,4632.082799284702,3358.3185052524095
15,3.0,80,11109.340320301872,3818.2751160944395,3787.3858586980878
20,1.0,50,8620.732776873632,3582.816831696203,3195.323909533819
20,1.0,55,8484.628873646947,3643.0983083383126,3459.471546507706
20,1.0,60,8675.784589914967,3658.958278286398,3755.793416859442
20,1.0,65,10051.492466509246,3856.4411281599478,3265.2503350287916
20,1.0,70,10098.037389045681,3841.5912761114023,3314.065894274289
20,1.0,20,7699.7144530635505,3900.0443024643323,2745.5917725202776
20,1.0,40,9066.48419678005,3982.876437912557,2754.4980088772336
20,1.0,80,9707.246360452235,4113.59357990269,3394.7799879564773
20,1.5,50,9656.519813345818,4543.292301115792,2714.370585917453
20,1.5,55,9328.574843661545,4457.105543757121,3073.1732823998454
