split,policy_name,policy_family,month,trade_count,net_pnl,no_cost_pnl,win_rate,avg_trade,max_drawdown,max_ddpercent,active_symbol_count,avg_holding_minutes
oos,v3_ensemble_core,ensemble,2026-03,44,-1.9190826849999991,-1.8017899999999987,0.22727272727272727,-0.0436155155681818,2.014668834999611,0.04029337669999222,5,2678.1136363636365
train,v3_1d_donchian_20_10_atr4,1d_donchian,2025-03,2,-0.1093493549999997,-0.1003299999999997,0.5,-0.05467467749999985,0.11859244500010391,0.0023718445153676137,2,39600.0
train,v3_1d_donchian_20_10_atr4,1d_donchian,2025-04,3,-0.061233239999999856,-0.05039999999999978,0.3333333333333333,-0.020411079999999953,0.9879067250003573,0.019758134500007147,3,53760.0
train,v3_1d_donchian_20_10_atr4,1d_donchian,2025-05,2,-0.0304728999999999,-0.030099999999999898,0.0,-0.01523644999999995,0.030472899999949732,0.0006094579999989946,1,23760.0
train,v3_1d_donchian_20_10_atr4,1d_donchian,2025-06,3,0.8486716599999996,0.8605999999999997,0.6666666666666666,0.2828905533333332,0.008286350000162201,0.00016572700000324402,3,56160.0
train,v3_1d_donchian_20_10_atr4,1d_donchian,2025-07,3,-0.888539175,-0.88209,0.0,-0.296179725,0.8885391750000053,0.017770783500000106,3,26880.0
train,v3_1d_donchian_20_10_atr4,1d_donchian,2025-08,3,0.3872950999999998,0.40219999999999967,0.6666666666666666,0.1290983666666666,0.34491578500001197,0.006897305643546363,3,40800.0
train,v3_1d_donchian_20_10_atr4,1d_donchian,2025-09,5,-0.8043833799999986,-0.7908799999999986,0.4,-0.16087667599999972,0.8046314299999722,0.016092628599999444,3,34847.4
train,v3_1d_donchian_55_20_atr5,1d_donchian,2025-04,2,-0.4545477749999993,-0.44536999999999927,0.0,-0.22727388749999966,0.4545477749998099,0.009090955499996198,2,81360.0
train,v3_1d_donchian_55_20_atr5,1d_donchian,2025-05,1,0.01935363,0.02146,1.0,0.01935363,0.0,0.0,1,93600.0
train,v3_1d_donchian_55_20_atr5,1d_donchian,2025-06,2,-0.3236920200000006,-0.3113600000000006,0.0,-0.1618460100000003,0.32369201999972574,0.006473840399994516,2,64080.0
train,v3_1d_donchian_55_20_atr5,1d_donchian,2025-07,2,-0.7944897449999998,-0.7920299999999998,0.0,-0.3972448724999999,0.794489744999737,0.01588979489999474,2,56160.0
train,v3_1d_donchian_55_20_atr5,1d_donchian,2025-09,3,0.7651135700000001,0.7804600000000002,0.6666666666666666,0.25503785666666673,0.3293035950000558,0.006584630633443031,3,105599.66666666667
train,v3_1d_ema_50_200_atr5,1d_ema,2025-01,6,-0.7887218500000002,-0.7605400000000002,0.0,-0.1314536416666667,0.7887218500000017,0.015774437000000033,4,8880.0
train,v3_1d_ema_50_200_atr5,1d_ema,2025-02,3,0.08146483499999926,0.09416999999999917,0.6666666666666666,0.027154944999999753,0.2178250000006301,0.004356239244387667,3,20640.0
