group,session_type,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
C,europe_to_us,15m,validation,SOLUSDT_SWAP_OKX.GLOBAL,91,40,51,-3595.9661041231675,-3777.9661041231675,0.03382999008920017,-3777.9322741330784,-0.039516111034320525,0.31868131868131866,3836.6243698838043,3.7548241580068327
C,europe_to_us,30m,oos,BTCUSDT_SWAP_OKX.GLOBAL,144,68,76,-334.08845972325446,-622.0884597232545,1.6151603628098001,-620.4732993604446,-0.0023200587480781557,0.3055555555555556,604.8006542823081,0.6144304039282923
C,europe_to_us,30m,oos,ETHUSDT_SWAP_OKX.GLOBAL,127,53,74,-877.4682998019468,-1131.4682998019468,0.41702812362229996,-1131.0512716783246,-0.0069091992110389515,0.41732283464566927,1201.3440086930125,1.1224443249459573
C,europe_to_us,30m,oos,SOLUSDT_SWAP_OKX.GLOBAL,129,69,60,-1470.9404812515932,-1728.9404812515927,-1.4321668742108002,-1730.3726481258036,-0.011402639389547232,0.3178294573643411,1855.6359758604292,1.6490682048584886
C,europe_to_us,30m,train,BTCUSDT_SWAP_OKX.GLOBAL,411,221,190,1.3311053949443306,-820.6688946050557,3.2974575142504996,-817.3714370908051,3.2386992577722863e-06,0.39902676399026765,874.9052857181916,0.8494242840674773
C,europe_to_us,30m,train,ETHUSDT_SWAP_OKX.GLOBAL,407,193,214,-351.21604330145306,-1165.216043301453,3.3295566303357003,-1161.8864866711174,-0.0008629386813303515,0.36855036855036855,1176.7831836620053,1.1773128185129849
C,europe_to_us,30m,train,SOLUSDT_SWAP_OKX.GLOBAL,412,188,224,-4195.479223447109,-5019.47922344711,3.541498533865397,-5015.937724913243,-0.010183201998658032,0.41019417475728154,4610.5300324787095,7.7541030615689515
C,europe_to_us,30m,validation,BTCUSDT_SWAP_OKX.GLOBAL,129,62,67,17.666809913734824,-240.33319008626518,1.5259688796227002,-238.80722120664248,0.0001369520148351536,0.4108527131782946,297.4017468260656,0.2809401896840953
C,europe_to_us,30m,validation,ETHUSDT_SWAP_OKX.GLOBAL,104,50,54,153.34803844063367,-54.6519615593663,-0.30502596788189995,-54.956987527248174,0.001474500369621478,0.5288461538461539,303.5570251847339,0.266793051577771
C,europe_to_us,30m,validation,SOLUSDT_SWAP_OKX.GLOBAL,76,34,42,-2407.12775952275,-2559.12775952275,-0.6729876751656999,-2559.800747197914,-0.031672733677930914,0.4868421052631579,2665.7010924302003,2.5071449733979407
