family,hold_label,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
funding_neutral_momentum,fixed_hold_4h,ETHUSDT_SWAP_OKX.GLOBAL,1170,-23.64187428504556,-1193.6418742850456,-1174.8421180830464,550,True,0.44871794871794873,0.8499774824975219,1529.4730976691144,1.0,-2.6498977609287397
funding_neutral_momentum,fixed_hold_4h,LINKUSDT_SWAP_OKX.GLOBAL,1347,935.4564144195044,-411.5435855804958,-391.3438855626528,599,True,0.45434298440979953,0.9573262910427406,821.0012792593232,1.0,-8.939828140624208
funding_neutral_momentum,fixed_hold_4h,SOLUSDT_SWAP_OKX.GLOBAL,1365,-2276.26940128957,-3641.26940128957,-3631.698985111585,629,True,0.44761904761904764,0.7274466167510895,4139.394246004946,1.0,-1.1727045146187658
funding_neutral_momentum,fixed_hold_8h,BTCUSDT_SWAP_OKX.GLOBAL,1050,-287.82926274167704,-1337.8292627416768,-1292.1319226257306,1049,True,0.4238095238095238,0.8027122639764366,1303.4343019391847,1.0,-1.6060078551742514
funding_neutral_momentum,fixed_hold_8h,DOGEUSDT_SWAP_OKX.GLOBAL,1278,-134.16397268825995,-1412.16397268826,-1346.7095168689405,1277,True,0.45618153364632236,0.9019911555056009,2258.8000298881884,1.0,-4.127268372528538
funding_neutral_momentum,fixed_hold_8h,ETHUSDT_SWAP_OKX.GLOBAL,1170,571.5336201957741,-598.4663798042258,-552.6977491606639,1170,True,0.45555555555555555,0.9443071336074768,938.4144937525398,1.0,-7.518023708332328
funding_neutral_momentum,fixed_hold_8h,LINKUSDT_SWAP_OKX.GLOBAL,1347,762.1387334082037,-584.8612665917959,-535.5277578389537,1346,True,0.46250927988121754,0.958817203173414,972.0116409218488,1.0,-9.66020676518734
funding_neutral_momentum,fixed_hold_8h,SOLUSDT_SWAP_OKX.GLOBAL,1365,-888.0038046842028,-2253.003804684203,-2236.3962901884724,1364,True,0.44835164835164837,0.8750157935601889,3876.053531848509,1.0,-3.4543273265865806
pre_breakout_momentum_acceleration,fixed_hold_10d,BTCUSDT_SWAP_OKX.GLOBAL,183,-1517.5326717877983,-1700.5326717877983,-1298.3441519202718,5466,True,0.4644808743169399,0.7942986913546721,2711.534298965424,1.0,-1.114997369078041
pre_breakout_momentum_acceleration,fixed_hold_10d,DOGEUSDT_SWAP_OKX.GLOBAL,169,3366.0432803020212,3197.0432803020212,3496.442327106449,5070,True,0.5325443786982249,1.5649806289830395,2005.1150809378469,1.0,0.7151747049831992
pre_breakout_momentum_acceleration,fixed_hold_10d,ETHUSDT_SWAP_OKX.GLOBAL,173,-14.023899469201297,-187.0238994692013,133.25378443113732,5190,True,0.49710982658959535,1.0185036786611232,2277.411539464636,1.0,16.768483236806265
pre_breakout_momentum_acceleration,fixed_hold_10d,LINKUSDT_SWAP_OKX.GLOBAL,165,1071.5232503998914,906.5232503998914,1194.0648680740755,4908,True,0.5151515151515151,1.1476022180655512,2386.422247677138,1.0,1.7273144418123807
pre_breakout_momentum_acceleration,fixed_hold_10d,SOLUSDT_SWAP_OKX.GLOBAL,203,438.4503197173299,235.45031971732988,438.84971430106793,6036,True,0.4975369458128079,1.03903550267463,4050.7537391121286,1.0,9.054441531555488
pre_breakout_momentum_acceleration,fixed_hold_1d,BTCUSDT_SWAP_OKX.GLOBAL,783,-1199.9489592699676,-1982.9489592699676,-1804.7621645250972,2349,True,0.4648786717752235,0.7838234286689943,1917.9378720652899,1.0,-1.2709636182781616
pre_breakout_momentum_acceleration,fixed_hold_1d,DOGEUSDT_SWAP_OKX.GLOBAL,712,449.99919924283665,-262.00080075716323,-120.40168337564239,2136,True,0.5042134831460674,0.9898805615046683,1871.9217164288527,1.0,-34.98272895516882
pre_breakout_momentum_acceleration,fixed_hold_1d,ETHUSDT_SWAP_OKX.GLOBAL,770,-561.3488292392907,-1331.3488292392906,-1168.7888865874552,2310,True,0.4766233766233766,0.89208073042225,1361.1542776619765,1.0,-2.828840661959036
pre_breakout_momentum_acceleration,fixed_hold_1d,LINKUSDT_SWAP_OKX.GLOBAL,752,-1534.6713705385714,-2286.6713705385714,-2155.8655313554477,2256,True,0.4587765957446808,0.821772581795813,2345.793707189782,1.0,-1.5669480816332757
pre_breakout_momentum_acceleration,fixed_hold_1d,SOLUSDT_SWAP_OKX.GLOBAL,762,-796.6304649109959,-1558.630464910996,-1462.9367665599889,2280,True,0.47506561679790027,0.8972656595313463,3255.7893633180274,1.0,-3.461666574508326
pre_breakout_momentum_acceleration,fixed_hold_3d,BTCUSDT_SWAP_OKX.GLOBAL,783,-3234.4450963047616,-4017.4450963047616,-3500.4507997184883,7044,True,0.4559386973180077,0.7636874090560486,4059.1976177977213,1.0,-1.012275834995142
pre_breakout_momentum_acceleration,fixed_hold_3d,DOGEUSDT_SWAP_OKX.GLOBAL,712,1101.8359727085326,389.8359727085326,822.557153617618,6408,True,0.49859550561797755,1.0409118735933423,2485.698338832719,1.0,8.156471700573643
pre_breakout_momentum_acceleration,fixed_hold_3d,ETHUSDT_SWAP_OKX.GLOBAL,770,123.30772616030305,-646.692273839697,-186.942581642189,6930,True,0.4779220779220779,0.989970571000784,2070.3482986205927,1.0,-32.100798576121775
pre_breakout_momentum_acceleration,fixed_hold_3d,LINKUSDT_SWAP_OKX.GLOBAL,752,1257.84011797012,505.8401179701199,913.1223141403262,6764,True,0.48404255319148937,1.0440089434427402,1516.386018980107,1.0,8.197693474315738
pre_breakout_momentum_acceleration,fixed_hold_3d,SOLUSDT_SWAP_OKX.GLOBAL,762,-2314.842292464304,-3076.8422924643046,-2812.503177730331,6836,True,0.484251968503937,0.8901539382987305,5241.464954896481,1.0,-2.672939952758678
pre_breakout_momentum_acceleration,fixed_hold_4h,BTCUSDT_SWAP_OKX.GLOBAL,600,83.22111834871463,-516.7788816512854,-494.0666752166921,317,True,0.4533333333333333,0.8175265737788218,537.6805415537776,1.0,-1.6902158364331434
pre_breakout_momentum_acceleration,fixed_hold_4h,DOGEUSDT_SWAP_OKX.GLOBAL,543,-218.41154476043738,-761.4115447604374,-741.0666708686604,297,True,0.4567219152854512,0.8183338126701833,944.7722991448323,1.0,-1.845087820136996
pre_breakout_momentum_acceleration,fixed_hold_4h,ETHUSDT_SWAP_OKX.GLOBAL,597,-56.15601888028674,-653.1560188802869,-629.7040733951058,298,True,0.44221105527638194,0.8214300471250008,759.3798108189764,1.0,-1.9524921593694473
pre_breakout_momentum_acceleration,fixed_hold_4h,LINKUSDT_SWAP_OKX.GLOBAL,587,267.7065027651539,-319.29349723484603,-301.74204315087593,295,True,0.4514480408858603,0.91744965048075,594.5301945133965,1.0,-4.160964611762177
pre_breakout_momentum_acceleration,fixed_hold_4h,SOLUSDT_SWAP_OKX.GLOBAL,559,-357.50833651274695,-916.5083365127468,-905.3429853237421,276,True,0.4329159212880143,0.7862487358662386,966.7248984251704,1.0,-1.4149823823404697
pre_breakout_momentum_acceleration,fixed_hold_8h,BTCUSDT_SWAP_OKX.GLOBAL,600,63.99135592034176,-536.0086440796583,-488.80928058004395,600,True,0.44666666666666666,0.8664165068581454,685.0153744098257,1.0,-2.527132133997121
pre_breakout_momentum_acceleration,fixed_hold_8h,DOGEUSDT_SWAP_OKX.GLOBAL,543,397.48170531161935,-145.5182946883807,-106.48882904353559,543,True,0.4604051565377532,0.9789977428541631,1244.531002653038,1.0,-19.25600870770359
pre_breakout_momentum_acceleration,fixed_hold_8h,ETHUSDT_SWAP_OKX.GLOBAL,597,117.98551998172812,-479.01448001827197,-434.06154423211615,597,True,0.4623115577889447,0.9069950819001232,761.0359588201732,1.0,-3.867698184518908
