date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2025-08-20,112632.1,113708.6,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='14', tradeid='14', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=113708.4, volume=1, datetime=datetime.datetime(2025, 8, 20, 0, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='15', tradeid='15', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=111863.1, volume=1, datetime=datetime.datetime(2025, 8, 20, 4, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,1,1,225571.5,112.78575000000001,0.0,1845.2999999999884,-1076.5,768.7999999999884,656.0142499999884,9983.385899999994,0.06796903568934384,18393.33305,-8409.947150000007,-45.72280144734294
2025-08-21,112619.0,112632.1,[],0,1,1,0.0,0.0,0.0,0.0,-13.10000000000582,-13.10000000000582,-13.10000000000582,9970.285899999988,-0.001313041731209087,18393.33305,-8423.047150000013,-45.794022905489726
2025-08-22,115875.0,112619.0,[],0,1,1,0.0,0.0,0.0,0.0,3256.0,3256.0,3256.0,13226.285899999988,0.2825969459410848,18393.33305,-5167.047150000013,-28.091956666875085
2025-08-23,114760.0,115875.0,[],0,1,1,0.0,0.0,0.0,0.0,-1115.0,-1115.0,-1115.0,12111.285899999988,-0.08806846863289214,18393.33305,-6282.047150000013,-34.153935738145144
2025-08-24,114389.3,114760.0,[],0,1,1,0.0,0.0,0.0,0.0,-370.6999999999971,-370.6999999999971,-370.6999999999971,11740.585899999991,-0.031086017440964907,18393.33305,-6652.74715000001,-36.16933990112254
2025-08-25,112116.9,114389.3,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='16', tradeid='16', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=111162.6, volume=1, datetime=datetime.datetime(2025, 8, 25, 20, 2, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,1,0,111162.6,55.581300000000006,0.0,-954.2999999999884,-2272.4000000000087,-3226.699999999997,-3282.281299999997,8458.304599999994,-0.3279029678141722,18393.33305,-9935.028450000007,-54.01429106401141
2025-08-26,109633.4,112116.9,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='17', tradeid='17', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=108834.3, volume=1, datetime=datetime.datetime(2025, 8, 26, 12, 28, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,0,1,108834.3,54.41715,0.0,799.0999999999913,-0.0,799.0999999999913,744.6828499999913,9202.987449999986,0.08437940252629784,18393.33305,-9190.345600000015,-49.965634695012575
2025-08-27,111694.0,109633.4,[],0,1,1,0.0,0.0,0.0,0.0,2060.600000000006,2060.600000000006,2060.600000000006,11263.587449999992,0.2020470190422504,18393.33305,-7129.745600000009,-38.76266243110304
2025-08-28,112270.4,111694.0,[],0,1,1,0.0,0.0,0.0,0.0,576.3999999999942,576.3999999999942,576.3999999999942,11839.987449999986,0.049907396276796204,18393.33305,-6553.345600000015,-35.62891827264561
2025-08-29,108314.0,112270.4,[],0,1,1,0.0,0.0,0.0,0.0,-3956.399999999994,-3956.399999999994,-3956.399999999994,7883.587449999991,-0.40669950906647073,18393.33305,-10509.74560000001,-57.13888598347329
2025-08-30,108675.4,108314.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='18', tradeid='18', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=108374.1, volume=1, datetime=datetime.datetime(2025, 8, 30, 0, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,1,0,108374.1,54.187050000000006,0.0,-301.29999999998836,361.3999999999942,60.10000000000582,5.912950000005814,7889.500399999997,0.00074975177127308,18393.33305,-10503.832650000004,-57.106738737599294
