split,policy_name,policy_family,funding_mode,synthetic_funding_stress,funding_bps_per_8h,original_net_pnl,funding_cost,funding_adjusted_net_pnl,funding_break_even_bps,remains_positive_after_funding,funding_exposure_notional_periods
validation,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,10.0,-3.064030754999999,0.9532195950000001,-4.017250349999999,-32.14401771713473,False,953.219595
validation,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,1.0,-3.035582795,0.23673750398958326,-3.272320298989583,-12.822568219413046,False,2367.3750398958327
validation,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,3.0,-3.035582795,0.7102125119687498,-3.7457953069687497,-12.822568219413046,False,2367.3750398958327
validation,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,5.0,-3.035582795,1.1836875199479164,-4.2192703149479165,-12.822568219413046,False,2367.3750398958327
validation,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,10.0,-3.035582795,2.367375039895833,-5.402957834895833,-12.822568219413046,False,2367.3750398958327
validation,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,1.0,-2.293627785000001,0.1397483832979167,-2.4333761682979174,-16.412553268043375,False,1397.483832979167
validation,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,3.0,-2.293627785000001,0.41924514989375,-2.712872934893751,-16.412553268043375,False,1397.483832979167
validation,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,5.0,-2.293627785000001,0.6987419164895835,-2.9923697014895843,-16.412553268043375,False,1397.483832979167
validation,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,10.0,-2.293627785000001,1.397483832979167,-3.6911116179791676,-16.412553268043375,False,1397.483832979167
validation,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,1.0,-0.3778615900000005,0.018611773500000005,-0.3964733635000005,-20.30228822632085,False,186.11773500000004
validation,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,3.0,-0.3778615900000005,0.055835320500000014,-0.43369691050000053,-20.30228822632085,False,186.11773500000004
validation,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,5.0,-0.3778615900000005,0.09305886750000002,-0.47092045750000056,-20.30228822632085,False,186.11773500000004
validation,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,10.0,-0.3778615900000005,0.18611773500000003,-0.5639793250000006,-20.30228822632085,False,186.11773500000004
validation,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,1.0,-2.722293194999996,0.21170854814583337,-2.934001743145829,-12.858683406230583,False,2117.0854814583336
validation,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,3.0,-2.722293194999996,0.6351256444375001,-3.357418839437496,-12.858683406230583,False,2117.0854814583336
validation,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,5.0,-2.722293194999996,1.0585427407291668,-3.7808359357291623,-12.858683406230583,False,2117.0854814583336
validation,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,10.0,-2.722293194999996,2.1170854814583335,-4.839378676458329,-12.858683406230583,False,2117.0854814583336
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,1.0,-0.9149454099999994,0.12023768448958337,-1.0351830944895828,-7.609472969177682,False,1202.3768448958338
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,3.0,-0.9149454099999994,0.36071305346875016,-1.2756584634687496,-7.609472969177682,False,1202.3768448958338
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,5.0,-0.9149454099999994,0.6011884224479168,-1.5161338324479163,-7.609472969177682,False,1202.3768448958338
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,10.0,-0.9149454099999994,1.2023768448958336,-2.117322254895833,-7.609472969177682,False,1202.3768448958338
validation,v3_ensemble_core,ensemble,synthetic,True,1.0,-3.1857684699999975,0.2257168166458333,-3.411485286645831,-14.114005847418575,False,2257.168166458333
validation,v3_ensemble_core,ensemble,synthetic,True,3.0,-3.1857684699999975,0.6771504499374998,-3.8629189199374974,-14.114005847418575,False,2257.168166458333
validation,v3_ensemble_core,ensemble,synthetic,True,5.0,-3.1857684699999975,1.1285840832291665,-4.314352553229164,-14.114005847418575,False,2257.168166458333
validation,v3_ensemble_core,ensemble,synthetic,True,10.0,-3.1857684699999975,2.257168166458333,-5.442936636458331,-14.114005847418575,False,2257.168166458333
oos,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,1.0,-1.9810969800000016,0.2537130054791667,-2.2348099854791683,-7.808417137538804,False,2537.130054791667
oos,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,3.0,-1.9810969800000016,0.7611390164375001,-2.742235996437502,-7.808417137538804,False,2537.130054791667
oos,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,5.0,-1.9810969800000016,1.2685650273958335,-3.249662007395835,-7.808417137538804,False,2537.130054791667
oos,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,10.0,-1.9810969800000016,2.537130054791667,-4.518227034791669,-7.808417137538804,False,2537.130054791667
oos,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,1.0,-2.726438670000001,0.17127424499999996,-2.897712915000001,-15.918556056107569,False,1712.7424499999997
oos,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,3.0,-2.726438670000001,0.513822735,-3.240261405000001,-15.918556056107569,False,1712.7424499999997
oos,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,5.0,-2.726438670000001,0.8563712249999998,-3.582809895000001,-15.918556056107569,False,1712.7424499999997
oos,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,10.0,-2.726438670000001,1.7127424499999997,-4.439181120000001,-15.918556056107569,False,1712.7424499999997
oos,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,1.0,0.8733676249999981,0.21727532564583335,0.6560922993541647,4.0196355587270824,True,2172.7532564583335
oos,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,3.0,0.8733676249999981,0.6518259769375,0.2215416480624981,4.0196355587270824,True,2172.7532564583335
oos,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,5.0,0.8733676249999981,1.086376628229167,-0.21300900322916883,4.0196355587270824,False,2172.7532564583335
oos,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,10.0,0.8733676249999981,2.172753256458334,-1.2993856314583359,4.0196355587270824,False,2172.7532564583335
oos,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,1.0,-1.2911704099999999,0.17374960150416663,-1.4649200115041665,-7.4312136478139585,False,1737.4960150416664
oos,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,3.0,-1.2911704099999999,0.5212488045124999,-1.8124192145124998,-7.4312136478139585,False,1737.4960150416664
oos,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,5.0,-1.2911704099999999,0.8687480075208331,-2.1599184175208332,-7.4312136478139585,False,1737.4960150416664
oos,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,10.0,-1.2911704099999999,1.7374960150416663,-3.028666425041666,-7.4312136478139585,False,1737.4960150416664
oos,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,1.0,-4.009793355,0.17874059750625002,-4.18853395250625,-22.433590415069467,False,1787.4059750625001
oos,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,3.0,-4.009793355,0.53622179251875,-4.54601514751875,-22.433590415069467,False,1787.4059750625001
oos,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,5.0,-4.009793355,0.8937029875312501,-4.90349634253125,-22.433590415069467,False,1787.4059750625001
oos,v3_4h_donchian_20_10_atr4,4h_donchian,synthetic,True,10.0,-4.009793355,1.7874059750625002,-5.797199330062501,-22.433590415069467,False,1787.4059750625001
oos,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,1.0,-3.356602480000002,0.11932693425,-3.475929414250002,-28.129462146137406,False,1193.2693425
oos,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,3.0,-3.356602480000002,0.35798080275,-3.7145832827500023,-28.129462146137406,False,1193.2693425
oos,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,5.0,-3.356602480000002,0.59663467125,-3.953237151250002,-28.129462146137406,False,1193.2693425
oos,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,10.0,-3.356602480000002,1.1932693425,-4.549871822500002,-28.129462146137406,False,1193.2693425
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,1.0,0.255895655,0.045944137006249997,0.20995151799375,5.569712953040979,True,459.44137006249997
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,3.0,0.255895655,0.13783241101875,0.11806324398125001,5.569712953040979,True,459.44137006249997
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,5.0,0.255895655,0.22972068503124995,0.026174969968750045,5.569712953040979,True,459.44137006249997
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,10.0,0.255895655,0.4594413700624999,-0.2035457150624999,5.569712953040979,False,459.44137006249997
oos,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,1.0,-1.4896913249999988,0.17882156202916666,-1.6685128870291654,-8.330602350722241,False,1788.2156202916667
oos,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,3.0,-1.4896913249999988,0.5364646860875,-2.0261560110874988,-8.330602350722241,False,1788.2156202916667
oos,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,5.0,-1.4896913249999988,0.8941078101458334,-2.383799135145832,-8.330602350722241,False,1788.2156202916667
oos,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,10.0,-1.4896913249999988,1.7882156202916668,-3.2779069452916656,-8.330602350722241,False,1788.2156202916667
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,1.0,-2.2915965550000004,0.09224435550000001,-2.3838409105000005,-24.842675116311046,False,922.4435550000002
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,3.0,-2.2915965550000004,0.2767330665,-2.5683296215,-24.842675116311046,False,922.4435550000002
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,5.0,-2.2915965550000004,0.4612217775000001,-2.7528183325000004,-24.842675116311046,False,922.4435550000002
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,10.0,-2.2915965550000004,0.9224435550000002,-3.2140401100000004,-24.842675116311046,False,922.4435550000002
oos,v3_ensemble_core,ensemble,synthetic,True,1.0,-1.1529297649999979,0.18625705502916667,-1.3391868200291646,-6.189992453276234,False,1862.5705502916667
oos,v3_ensemble_core,ensemble,synthetic,True,3.0,-1.1529297649999979,0.5587711650875,-1.711700930087498,-6.189992453276234,False,1862.5705502916667
oos,v3_ensemble_core,ensemble,synthetic,True,5.0,-1.1529297649999979,0.9312852751458333,-2.084215040145831,-6.189992453276234,False,1862.5705502916667
oos,v3_ensemble_core,ensemble,synthetic,True,10.0,-1.1529297649999979,1.8625705502916665,-3.015500315291664,-6.189992453276234,False,1862.5705502916667
