group,event_group,hold,split,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
C,top30_score_events,hold_1d,validation_ext,4h,2089,-4242.479000050276,-8420.479000050276,-15.630488472580602,-8436.109488522858,-0.0020308659646004197,0.45907132599329825
C,top30_score_events,hold_3d,oos_ext,1d,355,2890.2987292115795,2180.29872921158,-27.616160936492296,2152.6825682750873,0.00814168656115938,0.49577464788732395
C,top30_score_events,hold_3d,oos_ext,4h,1804,12770.119388021887,9162.119388021885,-118.9181279706716,9043.201260051217,0.007078780148570891,0.5393569844789357
C,top30_score_events,hold_3d,train_ext,1d,441,-7.471792189148687,-889.4717921891485,-14.73898819706339,-904.2107803862115,-1.6942839431175752e-05,0.47392290249433106
C,top30_score_events,hold_3d,train_ext,4h,2815,-8406.059182105828,-14036.05918210583,-114.59591430326552,-14150.655096409097,-0.002986166672151271,0.5190053285968028
C,top30_score_events,hold_3d,validation_ext,1d,299,3112.817591130751,2514.817591130751,-91.2473219527001,2423.5702691780516,0.01041076117435034,0.5217391304347826
C,top30_score_events,hold_3d,validation_ext,4h,2089,-7033.11118258392,-11211.111182583918,-2.0727942594551934,-11213.183976843371,-0.0033667358461387836,0.46433700335088557
C,top30_score_events,hold_4h,oos_ext,1d,355,-1.0944112647182465,-711.0944112647182,-13.8719550081615,-724.9663662728797,-3.08284863300904e-06,0.48169014084507045
C,top30_score_events,hold_4h,oos_ext,4h,1804,89.63138416965364,-3518.3686158303462,-11.0132901760086,-3529.3819060063547,4.968480275479705e-05,0.41352549889135254
C,top30_score_events,hold_4h,train_ext,1d,441,387.26639979133165,-494.73360020866835,-7.295745789271203,-502.0293459979396,0.0008781551015676454,0.4421768707482993
C,top30_score_events,hold_4h,train_ext,4h,2815,-1715.4131674534904,-7345.413167453491,-14.276478471832505,-7359.689645925324,-0.0006093830079763735,0.41207815275310833
C,top30_score_events,hold_4h,validation_ext,1d,299,1556.3866298345406,958.3866298345406,-37.7285728388999,920.6580569956407,0.005205306454296122,0.5117056856187291
C,top30_score_events,hold_4h,validation_ext,4h,2089,-1722.070868965309,-5900.070868965309,-10.9329893041838,-5911.003858269492,-0.0008243517802610383,0.4250837721397798
C,top30_score_events,hold_8h,oos_ext,1d,355,-1.0944112647182465,-711.0944112647182,-13.8719550081615,-724.9663662728797,-3.08284863300904e-06,0.48169014084507045
C,top30_score_events,hold_8h,oos_ext,4h,1804,579.9977056256673,-3028.002294374333,-19.6578790057364,-3047.660173380069,0.00032150648870602416,0.44789356984478934
C,top30_score_events,hold_8h,train_ext,1d,441,387.26639979133165,-494.73360020866835,-7.295745789271203,-502.0293459979396,0.0008781551015676454,0.4421768707482993
C,top30_score_events,hold_8h,train_ext,4h,2815,1631.0047421940474,-3998.995257805953,-23.319338259616206,-4022.3145960655693,0.0005793977769783473,0.44511545293072824
C,top30_score_events,hold_8h,validation_ext,1d,299,1556.3866298345406,958.3866298345406,-37.7285728388999,920.6580569956407,0.005205306454296122,0.5117056856187291
C,top30_score_events,hold_8h,validation_ext,4h,2089,-3179.715130233845,-7357.715130233845,-14.6612810176867,-7372.376411251531,-0.0015221230877136642,0.4346577309717568
