group,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,mfe_mean,mae_mean,mfe_mae_ratio_mean,max_drawdown,max_drawdown_pct
D,15m,oos,BTCUSDT_SWAP_OKX.GLOBAL,210,113,97,-892.4018452375117,-1312.4018452375117,0.12674647152100002,-1312.2750987659906,-0.004249532596369103,0.19047619047619047,0.006229930455512431,-0.01199923680216594,58.99842765991429,1323.4603991826853,1.3192567948585618
D,15m,oos,ETHUSDT_SWAP_OKX.GLOBAL,189,84,105,-1150.5045825004968,-1528.504582500497,0.5958670505503999,-1527.9087154499464,-0.006087325833335963,0.24338624338624337,0.015639939762811774,-0.023375325625408172,21.18874382185492,1542.4420156487536,1.5203463655125935
D,15m,oos,SOLUSDT_SWAP_OKX.GLOBAL,109,61,48,-453.7196116970021,-671.7196116970022,0.20470252731579994,-671.5149091696862,-0.004162565244926625,0.3761467889908257,0.017206780605407763,-0.022209234361240036,2.725003609624773,728.2983145699283,0.7141502756752437
D,15m,train,BTCUSDT_SWAP_OKX.GLOBAL,565,304,261,-996.2779207194069,-2126.277920719407,2.3235788885702,-2123.9543418308367,-0.0017633237534856762,0.26194690265486725,0.007994630239370594,-0.00865255481307626,6.153189106271528,2139.7077243134345,2.145576645129269
D,15m,train,ETHUSDT_SWAP_OKX.GLOBAL,596,325,271,-1465.317073848615,-2657.317073848615,4.1495275922263,-2653.167546256389,-0.0024585856943768708,0.2516778523489933,0.009029774374055293,-0.009336324145259655,9.361267078089394,2661.7328024294993,2.665649210059392
D,15m,train,SOLUSDT_SWAP_OKX.GLOBAL,490,260,230,-1569.0630065527964,-2549.0630065527967,6.186532547951,-2542.876474004846,-0.003202169401128156,0.38571428571428573,0.022991683089616848,-0.023054047628133296,6.27935674919109,2553.8113985054797,2.5592142156706434
D,15m,validation,BTCUSDT_SWAP_OKX.GLOBAL,153,73,80,-397.04496790576343,-703.0449679057634,0.13323887555140002,-702.911729030212,-0.002595065149710872,0.26143790849673204,0.007750626414396089,-0.01017479400999122,2.6961217091278975,693.0356316638914,0.6999483901160772
D,15m,validation,ETHUSDT_SWAP_OKX.GLOBAL,148,78,70,-744.3820093725549,-1040.3820093725549,0.4450630695426,-1039.9369463030123,-0.005029608171436182,0.2635135135135135,0.011838790197562093,-0.01569258529796124,2.587805661442938,1039.414594010361,1.039957818361042
D,15m,validation,SOLUSDT_SWAP_OKX.GLOBAL,86,42,44,-4942.008628392489,-5114.008628392489,-0.2123859717291,-5114.221014364217,-0.057465216609215,0.23255813953488372,0.09625648162656264,-0.10693457906582232,2.0446126712324038,5114.659498070714,5.112417786170681
D,1h,oos,BTCUSDT_SWAP_OKX.GLOBAL,37,17,20,-104.78445607228468,-178.78445607228466,-0.8286543326064001,-179.61311040489102,-0.002832012326277965,0.3783783783783784,0.016337472244994298,-0.018866653194584967,2.7749792717318154,231.39448328134233,0.2203703026410991
D,1h,oos,ETHUSDT_SWAP_OKX.GLOBAL,42,24,18,-218.27843379636525,-302.2784337963653,-2.737111371122501,-305.0155451674878,-0.005197105566580125,0.4523809523809524,0.042061597200214663,-0.043679139504605086,6.409412632960448,430.6802527097532,0.3905911858597756
D,1h,oos,SOLUSDT_SWAP_OKX.GLOBAL,23,7,16,-579.7880789106115,-625.7880789106115,2.4509639544127,-623.3371149561988,-0.025208177343939632,0.2608695652173913,0.04630647691036432,-0.06403803500290026,2.942046149517043,602.0504623004084,0.6151448367738155
