filter_name,policy_name,split,original_trade_count,filtered_trade_count,removed_trade_count,removed_trade_pct,original_net_pnl,filtered_net_pnl,pnl_delta,did_filter_change_trade_set
trend_friendly_only,v3_4h_donchian_55_20_atr4,oos_ext,72,0,72,1.0,-8.172770215000002,0.0,8.172770215000002,True
original_all,v3_4h_donchian_55_with_risk_filters,train_ext,30,30,0,0.0,3.1826913600000015,3.1826913600000015,0.0,False
original_all,v3_4h_donchian_55_with_risk_filters,validation_ext,24,24,0,0.0,-0.35584102999999967,-0.35584102999999967,0.0,False
original_all,v3_4h_donchian_55_with_risk_filters,oos_ext,19,19,0,0.0,1.1679083449999994,1.1679083449999994,0.0,False
keep_trend_friendly,v3_4h_donchian_55_with_risk_filters,train_ext,30,3,27,0.9,3.1826913600000015,-0.194804865,-3.3774962250000016,True
keep_trend_friendly,v3_4h_donchian_55_with_risk_filters,validation_ext,24,1,23,0.9583333333333334,-0.35584102999999967,-0.011308755,0.34453227499999967,True
keep_trend_friendly,v3_4h_donchian_55_with_risk_filters,oos_ext,19,0,19,1.0,1.1679083449999994,0.0,-1.1679083449999994,True
exclude_hostile_chop_overheated,v3_4h_donchian_55_with_risk_filters,train_ext,30,26,4,0.13333333333333333,3.1826913600000015,3.238702240000002,0.05601088000000054,True
exclude_hostile_chop_overheated,v3_4h_donchian_55_with_risk_filters,validation_ext,24,24,0,0.0,-0.35584102999999967,-0.35584102999999967,0.0,False
exclude_hostile_chop_overheated,v3_4h_donchian_55_with_risk_filters,oos_ext,19,19,0,0.0,1.1679083449999994,1.1679083449999994,0.0,False
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,train_ext,30,3,27,0.9,3.1826913600000015,-0.194804865,-3.3774962250000016,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,validation_ext,24,1,23,0.9583333333333334,-0.35584102999999967,-0.011308755,0.34453227499999967,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,oos_ext,19,0,19,1.0,1.1679083449999994,0.0,-1.1679083449999994,True
exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,train_ext,30,29,1,0.03333333333333333,3.1826913600000015,3.2140382650000014,0.031346904999999925,True
exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,validation_ext,24,24,0,0.0,-0.35584102999999967,-0.35584102999999967,0.0,False
exclude_funding_overheated,v3_4h_donchian_55_with_risk_filters,oos_ext,19,19,0,0.0,1.1679083449999994,1.1679083449999994,0.0,False
trend_friendly_only,v3_4h_donchian_55_with_risk_filters,train_ext,30,3,27,0.9,3.1826913600000015,-0.194804865,-3.3774962250000016,True
trend_friendly_only,v3_4h_donchian_55_with_risk_filters,validation_ext,24,1,23,0.9583333333333334,-0.35584102999999967,-0.011308755,0.34453227499999967,True
trend_friendly_only,v3_4h_donchian_55_with_risk_filters,oos_ext,19,0,19,1.0,1.1679083449999994,0.0,-1.1679083449999994,True
original_all,v3_4h_ema_50_200_atr4,train_ext,491,491,0,0.0,0.5210463000000167,0.5210463000000167,0.0,False
original_all,v3_4h_ema_50_200_atr4,validation_ext,312,312,0,0.0,1.9557614000000103,1.9557614000000103,0.0,False
original_all,v3_4h_ema_50_200_atr4,oos_ext,313,313,0,0.0,-6.26843713499999,-6.26843713499999,0.0,False
keep_trend_friendly,v3_4h_ema_50_200_atr4,train_ext,491,25,466,0.9490835030549898,0.5210463000000167,-0.34586542999999903,-0.8669117300000158,True
keep_trend_friendly,v3_4h_ema_50_200_atr4,validation_ext,312,2,310,0.9935897435897436,1.9557614000000103,0.054518975000000004,-1.9012424250000104,True
keep_trend_friendly,v3_4h_ema_50_200_atr4,oos_ext,313,0,313,1.0,-6.26843713499999,0.0,6.26843713499999,True
exclude_hostile_chop_overheated,v3_4h_ema_50_200_atr4,train_ext,491,416,75,0.15274949083503056,0.5210463000000167,1.5722170500000163,1.0511707499999996,True
exclude_hostile_chop_overheated,v3_4h_ema_50_200_atr4,validation_ext,312,281,31,0.09935897435897435,1.9557614000000103,1.71887497500001,-0.23688642500000023,True
exclude_hostile_chop_overheated,v3_4h_ema_50_200_atr4,oos_ext,313,312,1,0.003194888178913738,-6.26843713499999,-6.267185294999991,0.001251839999999227,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_ema_50_200_atr4,train_ext,491,25,466,0.9490835030549898,0.5210463000000167,-0.34586542999999903,-0.8669117300000158,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_ema_50_200_atr4,validation_ext,312,2,310,0.9935897435897436,1.9557614000000103,0.054518975000000004,-1.9012424250000104,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_ema_50_200_atr4,oos_ext,313,0,313,1.0,-6.26843713499999,0.0,6.26843713499999,True
exclude_funding_overheated,v3_4h_ema_50_200_atr4,train_ext,491,483,8,0.016293279022403257,0.5210463000000167,0.417424990000016,-0.10362131000000074,True
exclude_funding_overheated,v3_4h_ema_50_200_atr4,validation_ext,312,309,3,0.009615384615384616,1.9557614000000103,2.012168575000011,0.05640717500000081,True
exclude_funding_overheated,v3_4h_ema_50_200_atr4,oos_ext,313,313,0,0.0,-6.26843713499999,-6.26843713499999,0.0,False
